"CubeId";"devkum"
"PublishingDate";"2019-09-02 14:30"

"Date";"D0";"D1";"Value"
"2004-11";"M1";"HKD100";"14.6827"
"2004-12";"M1";"EUR1";"1.5431"
"2004-12";"M1";"GBP1";"2.183"
"2004-12";"M1";"USD1";"1.1319"
"2004-12";"M1";"BRL100";"42.6"
"2004-12";"M1";"ZAR1";"0.2008"
"2004-12";"M1";"JPY100";"1.1033"
"2004-12";"M1";"HKD100";"14.5576"
"2005-01";"M1";"EUR1";"1.5493"
"2005-01";"M1";"GBP1";"2.2428"
"2005-01";"M1";"USD1";"1.1918"
"2005-01";"M1";"BRL100";"45"
"2005-01";"M1";"ZAR1";"0.1983"
"2005-01";"M1";"JPY100";"1.1485"
"2005-01";"M1";"HKD100";"15.2789"
"2005-02";"M1";"EUR1";"1.5394"
"2005-02";"M1";"GBP1";"2.2345"
"2005-02";"M1";"USD1";"1.1617"
"2005-02";"M1";"BRL100";"44.3"
"2005-02";"M1";"ZAR1";"0.1999"
"2005-02";"M1";"JPY100";"1.1121"
"2005-02";"M1";"HKD100";"14.8945"
"2005-03";"M1";"EUR1";"1.55"
"2005-03";"M1";"GBP1";"2.2487"
"2005-03";"M1";"USD1";"1.196"
"2005-03";"M1";"BRL100";"44.6"
"2005-03";"M1";"ZAR1";"0.1915"
"2005-03";"M1";"JPY100";"1.1185"
"2005-03";"M1";"HKD100";"15.3343"
"2005-04";"M1";"EUR1";"1.5372"
"2005-04";"M1";"GBP1";"2.2676"
"2005-04";"M1";"USD1";"1.186"
"2005-04";"M1";"BRL100";"46.6"
"2005-04";"M1";"ZAR1";"0.1946"
"2005-04";"M1";"JPY100";"1.126"
"2005-04";"M1";"HKD100";"15.2141"
"2005-05";"M1";"EUR1";"1.5425"
"2005-05";"M1";"GBP1";"2.2636"
"2005-05";"M1";"USD1";"1.2452"
"2005-05";"M1";"BRL100";"52.5"
"2005-05";"M1";"ZAR1";"0.1854"
"2005-05";"M1";"JPY100";"1.1527"
"2005-05";"M1";"HKD100";"16.0076"
"2005-06";"M1";"EUR1";"1.5489"
"2005-06";"M1";"GBP1";"2.3118"
"2005-06";"M1";"USD1";"1.2832"
"2005-06";"M1";"BRL100";"54.4"
"2005-06";"M1";"ZAR1";"0.192"
"2005-06";"M1";"JPY100";"1.1614"
"2005-06";"M1";"HKD100";"16.5097"
"2005-07";"M1";"EUR1";"1.5606"
"2005-07";"M1";"GBP1";"2.2651"
"2005-07";"M1";"USD1";"1.291"
"2005-07";"M1";"BRL100";"53.6"
"2005-07";"M1";"ZAR1";"0.1944"
"2005-07";"M1";"JPY100";"1.1485"
"2005-07";"M1";"HKD100";"16.606"
"2005-08";"M1";"EUR1";"1.5497"
"2005-08";"M1";"GBP1";"2.2643"
"2005-08";"M1";"USD1";"1.2688"
"2005-08";"M1";"BRL100";"53.2"
"2005-08";"M1";"ZAR1";"0.1946"
"2005-08";"M1";"JPY100";"1.139"
"2005-08";"M1";"HKD100";"16.3246"
"2005-09";"M1";"EUR1";"1.5556"
"2005-09";"M1";"GBP1";"2.2749"
"2005-09";"M1";"USD1";"1.2942"
"2005-09";"M1";"BRL100";"58.4"
"2005-09";"M1";"ZAR1";"0.203"
"2005-09";"M1";"JPY100";"1.142"
"2005-09";"M1";"HKD100";"16.6839"
"2005-10";"M1";"EUR1";"1.545"
"2005-10";"M1";"GBP1";"2.2779"
"2005-10";"M1";"USD1";"1.2788"
"2005-10";"M1";"BRL100";"56.5"
"2005-10";"M1";"ZAR1";"0.1906"
"2005-10";"M1";"JPY100";"1.1056"
"2005-10";"M1";"HKD100";"16.4953"
"2005-11";"M1";"EUR1";"1.5482"
"2005-11";"M1";"GBP1";"2.2629"
"2005-11";"M1";"USD1";"1.3142"
"2005-11";"M1";"BRL100";"60"
"2005-11";"M1";"ZAR1";"0.2025"
"2005-11";"M1";"JPY100";"1.0986"
"2005-11";"M1";"HKD100";"16.9469"
"2005-12";"M1";"EUR1";"1.5561"
"2005-12";"M1";"GBP1";"2.2687"
"2005-12";"M1";"USD1";"1.3152"
"2005-12";"M1";"BRL100";"56.5"
"2005-12";"M1";"ZAR1";"0.2071"
"2005-12";"M1";"JPY100";"1.1195"
"2005-12";"M1";"HKD100";"16.9607"
"2006-01";"M1";"EUR1";"1.5538"
"2006-01";"M1";"GBP1";"2.276"
"2006-01";"M1";"USD1";"1.2839"
"2006-01";"M1";"BRL100";"57.9"
"2006-01";"M1";"ZAR1";"0.2098"
"2006-01";"M1";"JPY100";"1.0962"
"2006-01";"M1";"HKD100";"16.5513"
"2006-02";"M1";"EUR1";"1.5655"
"2006-02";"M1";"GBP1";"2.2969"
"2006-02";"M1";"USD1";"1.3181"
"2006-02";"M1";"BRL100";"61.6"
"2006-02";"M1";"ZAR1";"0.2135"
"2006-02";"M1";"JPY100";"1.1338"
"2006-02";"M1";"HKD100";"16.9882"
"2006-03";"M1";"EUR1";"1.5796"
"2006-03";"M1";"GBP1";"2.2654"
"2006-03";"M1";"USD1";"1.303"
"2006-03";"M1";"BRL100";"59.5"
"2006-03";"M1";"ZAR1";"0.2099"
"2006-03";"M1";"JPY100";"1.1089"
"2006-03";"M1";"HKD100";"16.7899"
"2006-04";"M1";"EUR1";"1.5755"
"2006-04";"M1";"GBP1";"2.2644"
"2006-04";"M1";"USD1";"1.2555"
"2006-04";"M1";"BRL100";"59.1"
"2006-04";"M1";"ZAR1";"0.2035"
"2006-04";"M1";"JPY100";"1.0982"
"2006-04";"M1";"HKD100";"16.191"
"2006-05";"M1";"EUR1";"1.5582"
"2006-05";"M1";"GBP1";"2.2759"
"2006-05";"M1";"USD1";"1.2114"
"2006-05";"M1";"BRL100";"52.4"
"2006-05";"M1";"ZAR1";"0.1817"
"2006-05";"M1";"JPY100";"1.0818"
"2006-05";"M1";"HKD100";"15.6146"
"2006-06";"M1";"EUR1";"1.5673"
"2006-06";"M1";"GBP1";"2.2579"
"2006-06";"M1";"USD1";"1.2326"
"2006-06";"M1";"BRL100";"56.6"
"2006-06";"M1";"ZAR1";"0.1724"
"2006-06";"M1";"JPY100";"1.074"
"2006-06";"M1";"HKD100";"15.8685"
"2006-07";"M1";"EUR1";"1.5726"
"2006-07";"M1";"GBP1";"2.2998"
"2006-07";"M1";"USD1";"1.2327"
"2006-07";"M1";"BRL100";"56.6"
"2006-07";"M1";"ZAR1";"0.1797"
"2006-07";"M1";"JPY100";"1.0777"
"2006-07";"M1";"HKD100";"15.86"
"2006-08";"M1";"EUR1";"1.576"
"2006-08";"M1";"GBP1";"2.3383"
"2006-08";"M1";"USD1";"1.2264"
"2006-08";"M1";"BRL100";"57.3"
"2006-08";"M1";"ZAR1";"0.1732"
"2006-08";"M1";"JPY100";"1.0458"
"2006-08";"M1";"HKD100";"15.7684"
"2006-09";"M1";"EUR1";"1.5868"
"2006-09";"M1";"GBP1";"2.3402"
